Date,Open,High,Low,Close
2019-03-27 13:45,961.61,961.63,961.12,961.17
2019-03-27 13:30,961.55,961.61,960.94,961.57
2019-03-27 13:15,961.68,961.77,961.31,961.56
2019-03-27 13:00,960.75,961.71,960.2,961.71
2019-03-27 12:45,961.05,961.53,960.77,960.77
2019-03-27 12:30,960.61,960.87,960.41,960.87
2019-03-27 12:15,959.52,960.66,959.5,960.66
2019-03-27 12:00,958.41,959.85,958.24,959.59
2019-03-27 11:45,957.84,958.53,957.29,958.45
2019-03-27 11:30,959.32,959.64,957.91,957.91
2019-03-27 11:15,960.44,960.88,959.45,959.45
2019-03-27 11:00,961.54,961.79,960.63,960.63
2019-03-27 10:45,962.2,962.2,960.66,961.45
2019-03-27 10:30,963.46,964.15,962.01,962.11
2019-03-27 10:15,963.32,963.8,962.99,963.77
2019-03-27 10:00,961.59,963.39,961.22,963.29
2019-03-27 9:45,962.67,962.67,961.27,961.57
2019-03-27 9:30,961.31,963.51,961.31,962.43
2019-03-26 16:15,961.89,961.89,961.89,961.89
2019-03-26 16:00,961.89,961.89,961.89,961.89
2019-03-26 15:45,961.16,962.15,961.15,962.07
2019-03-26 15:30,961.21,961.68,960.97,961.17
2019-03-26 15:15,961.57,961.59,961.04,961.27
2019-03-26 15:00,960.92,961.75,960.92,961.7
2019-03-26 14:45,960.28,960.88,960.11,960.88
2019-03-26 14:30,959.81,960.27,959.4,960.27
2019-03-26 14:15,959.89,960.16,959.82,959.89
2019-03-26 14:00,959.91,960.17,959.67,959.89
2019-03-26 13:45,960.28,960.55,959.85,959.94
2019-03-26 13:30,960.83,960.9,960.27,960.27
2019-03-26 13:15,961.05,961.37,960.73,960.83
2019-03-26 13:00,960.66,961.06,960.61,961.06
2019-03-26 12:45,960.28,960.98,959.86,960.6
2019-03-26 12:30,961.05,961.19,960.27,960.32
2019-03-26 12:15,961.39,961.8,960.73,961.04
2019-03-26 12:00,961.36,961.8,961.27,961.38
2019-03-26 11:45,962.35,962.35,960.6,961.36
2019-03-26 11:30,961.81,962.44,961.32,962.34
2019-03-26 11:15,962.63,962.84,961.52,961.84
2019-03-26 11:00,964.25,964.75,962.67,962.67
2019-03-26 10:45,963.79,964.96,963.79,964.38
2019-03-26 10:30,963.84,963.84,962.77,963.6
2019-03-26 10:15,962.95,964.17,962.8,963.84
2019-03-26 10:00,963.94,963.94,962.44,962.98
2019-03-26 9:45,964.15,964.28,962.63,963.84
2019-03-26 9:30,961.18,964.02,961.18,964.02
2019-03-25 16:15,956.26,956.26,956.26,956.26
2019-03-25 16:00,956.26,956.26,956.26,956.26
2019-03-25 15:45,956.75,957.03,956.29,956.54
2019-03-25 15:30,957.29,957.29,956.37,956.77
2019-03-25 15:15,957.07,957.51,956.91,957.24
2019-03-25 15:00,956.36,957.07,956.27,957.03
2019-03-25 14:45,956.28,956.44,955.61,956.35
2019-03-25 14:30,955.37,956.4,955.37,956.35
2019-03-25 14:15,955.96,956.11,955.26,955.38
2019-03-25 14:00,956,956.24,955.51,955.99
2019-03-25 13:45,956.39,956.39,955.85,955.97
2019-03-25 13:30,956.43,956.76,956.08,956.41
2019-03-25 13:15,957.49,957.55,956.13,956.42
2019-03-25 13:00,957.75,957.81,956.63,957.55
2019-03-25 12:45,956.77,957.6,956.27,957.6
2019-03-25 12:30,957.81,958.01,956.44,956.76
2019-03-25 12:15,957.28,957.98,957.25,957.92
2019-03-25 12:00,956.81,957.75,956.69,957.33
2019-03-25 11:45,957.29,957.58,956.88,956.91
2019-03-25 11:30,959.18,959.26,957.3,957.3
2019-03-25 11:15,957.51,959.31,957.49,959.17
2019-03-25 11:00,957.71,958.16,957.08,957.55
2019-03-25 10:45,955.9,958.23,955.89,957.6
2019-03-25 10:30,956.02,956.37,955.41,955.89
2019-03-25 10:15,955.52,956.33,955.5,956.1
2019-03-25 10:00,955.01,956.01,954.35,955.41
2019-03-25 9:45,957.59,957.59,955.22,955.22
2019-03-25 9:30,956.82,959.29,956.21,957.84
2019-03-22 16:15,958.21,958.21,958.21,958.21
2019-03-22 16:00,958.21,958.21,958.21,958.21
2019-03-22 15:45,957.92,958.63,957.91,958.34
2019-03-22 15:30,958.68,958.76,957.86,957.99
2019-03-22 15:15,958.85,959.6,958.76,958.76
2019-03-22 15:00,959.29,959.61,958.81,958.82
2019-03-22 14:45,959.06,959.89,959.04,959.27
2019-03-22 14:30,959.29,959.29,958.24,959.08
2019-03-22 14:15,958.24,959.36,958.24,959.26
2019-03-22 14:00,956.12,958.28,956.12,958.21
2019-03-22 13:45,957.34,957.44,955.99,956.07
2019-03-22 13:30,956.15,957.4,956.15,957.2
2019-03-22 13:15,956.82,956.82,956.08,956.27
2019-03-22 13:00,955.8,957.16,955.77,956.79
2019-03-22 12:45,955.41,956.15,954.98,955.76
2019-03-22 12:30,956.08,957.07,955.52,955.53
2019-03-22 12:15,956.41,957.13,955.96,955.99
2019-03-22 12:00,955.73,957.41,955.68,956.58
2019-03-22 11:45,957.01,957.19,955.79,955.81
2019-03-22 11:30,958.03,958.13,956.84,957.03
2019-03-22 11:15,958.23,958.71,957.46,958.15
2019-03-22 11:00,958.33,958.37,957.47,958.08
2019-03-22 10:45,959.81,959.81,958.32,958.35
2019-03-22 10:30,959.93,960.73,959.3,959.6
2019-03-22 10:15,960.8,961.36,959.61,959.99
2019-03-22 10:00,960.14,961.09,959.76,960.82
2019-03-22 9:45,962.24,962.34,959.69,960.17
2019-03-22 9:30,962.48,963.41,961.78,962.47
2019-03-21 16:15,967.26,967.26,967.26,967.26
2019-03-21 16:00,967.26,967.26,967.26,967.26
2019-03-21 15:45,967.81,968.05,967.41,968.01
2019-03-21 15:30,967.92,968.24,967.46,967.81
2019-03-21 15:15,967.3,968.3,967.25,967.89
2019-03-21 15:00,967.9,968.35,967.28,967.29
2019-03-21 14:45,968.11,968.37,967.87,967.98
2019-03-21 14:30,967.74,968.21,967.61,968.16
2019-03-21 14:15,967.47,967.83,967.25,967.72
2019-03-21 14:00,965.91,967.51,965.91,967.48
2019-03-21 13:45,965.95,966.19,965.62,965.91
2019-03-21 13:30,965.99,966.13,965.67,965.93
2019-03-21 13:15,965.73,965.97,965.46,965.96
2019-03-21 13:00,965.47,966.12,965.44,965.74
2019-03-21 12:45,965.52,965.61,965.03,965.44
2019-03-21 12:30,965.97,966,964.98,965.56
2019-03-21 12:15,966.6,966.87,965.85,966.07
2019-03-21 12:00,966.48,966.66,966.14,966.61
2019-03-21 11:45,965.48,966.8,965.48,966.56
2019-03-21 11:30,965.51,966.77,965.49,965.56
2019-03-21 11:15,964.78,965.94,964.65,965.56
2019-03-21 11:00,964.97,965.88,964.73,964.75
2019-03-21 10:45,963.56,964.74,963.39,964.74
2019-03-21 10:30,963.98,964.17,963.47,963.6
2019-03-21 10:15,964.16,964.17,963,964.13
2019-03-21 10:00,963.53,964.18,963.42,963.93
2019-03-21 9:45,963.3,963.86,962.65,963.42
2019-03-21 9:30,962.03,963.67,961.85,963.2
2019-03-20 16:15,963.27,963.27,963.27,963.27
2019-03-20 16:00,963.27,963.27,963.27,963.27
2019-03-20 15:45,963.97,964.34,963.69,964.09
2019-03-20 15:30,965.08,965.11,963.52,964.09
2019-03-20 15:15,965.49,965.62,964.99,965.1
2019-03-20 15:00,965.67,965.77,964.34,965.53
2019-03-20 14:45,965.54,966.24,965.33,965.64
